Write Buffer Size,ops_per_sec,micros_per_op
486539264,4524,149.0
487587840,8474,71.0
488636416,6666,84.0
489684992,9009,68.0
490733568,5882,75.0
491782144,8264,70.0
492830720,5747,100.0
493879296,7874,74.0
494927872,8196,73.0
495976448,9259,66.0
497025024,9708,58.0
498073600,10000,57.0
499122176,10526,57.0
500170752,11111,53.0
501219328,9090,73.0
502267904,4273,146.0
503316480,9009,73.0
504365056,10204,60.0
505413632,8928,66.0
506462208,10638,55.0
507510784,10101,62.0
508559360,8000,77.0
509607936,5882,85.0
510656512,10989,55.0
511705088,11627,53.0
512753664,11363,52.0
513802240,11111,53.0
514850816,12195,49.0
515899392,6944,71.0
516947968,11235,53.0
517996544,8000,50.0
519045120,11764,52.0
520093696,7874,55.0
521142272,8620,45.0
522190848,12820,45.0
523239424,12820,48.0
524288000,11494,50.0
525336576,12820,49.0
526385152,8264,52.0
527433728,12658,47.0
528482304,10204,62.0
529530880,12048,54.0
530579456,12345,50.0
531628032,12345,47.0
532676608,8403,48.0
533725184,7142,53.0
534773760,8474,48.0
535822336,13333,47.0
536870912,9345,74.0
537919488,12658,49.0
538968064,12345,51.0
540016640,8695,45.0
541065216,13157,47.0
542113792,5000,64.0
543162368,9090,58.0
544210944,8771,70.0
545259520,9523,67.0
546308096,7042,60.0
547356672,7092,67.0
548405248,8771,63.0
549453824,6535,72.0
550502400,7812,80.0
551550976,6024,80.0
552599552,7246,82.0
553648128,4444,143.0
554696704,6666,68.0
555745280,4115,181.0
556793856,8849,70.0
557842432,6172,74.0
558891008,8064,71.0
559939584,6060,67.0
560988160,5681,108.0
562036736,6493,92.0
563085312,6622,63.0
564133888,9803,57.0
565182464,9900,56.0
566231040,7352,59.0
567279616,10869,55.0
568328192,11627,50.0
569376768,12048,49.0
570425344,8064,55.0
571473920,11111,49.0
572522496,9259,53.0
573571072,12195,49.0
574619648,8064,54.0
575668224,12048,50.0
576716800,10989,57.0
577765376,9009,76.0
578813952,10000,63.0
579862528,6993,60.0
580911104,8403,49.0
581959680,7692,51.0
583008256,12345,48.0
584056832,11904,51.0
585105408,12195,49.0
586153984,11904,52.0
587202560,8620,47.0
588251136,8064,50.0
589299712,12048,51.0
590348288,11764,50.0
591396864,11904,54.0
592445440,8928,46.0
593494016,12658,47.0
594542592,8695,45.0
595591168,8620,75.0
596639744,11111,56.0
597688320,11494,54.0
598736896,11111,54.0
599785472,10869,58.0
600834048,11111,53.0
601882624,6756,52.0
602931200,8130,48.0
603979776,11235,55.0
605028352,10638,61.0
606076928,6369,67.0
607125504,9615,67.0
608174080,7751,67.0
609222656,10638,58.0
610271232,7575,90.0
611319808,10416,60.0
612368384,10309,60.0
613416960,7092,65.0
614465536,9708,63.0
615514112,10638,55.0
616562688,11363,52.0
617611264,11494,53.0
618659840,11904,52.0
619708416,11111,55.0
620756992,11494,51.0
621805568,11764,53.0
622854144,10204,58.0
623902720,12658,48.0
624951296,11494,53.0
625999872,12195,49.0
627048448,12048,49.0
628097024,11764,52.0
629145600,8000,52.0
630194176,8196,50.0
631242752,12048,50.0
632291328,13157,45.0
633339904,13157,45.0
634388480,8547,47.0
635437056,11494,55.0
636485632,12195,48.0
637534208,9259,40.0
638582784,8771,46.0
639631360,12820,47.0
640679936,12658,49.0
641728512,11764,51.0
642777088,8474,74.0
643825664,6250,115.0
644874240,9009,68.0
645922816,10869,56.0
646971392,10752,59.0
648019968,11764,53.0
649068544,9090,73.0
650117120,12345,47.0
651165696,11904,51.0
652214272,12658,46.0
653262848,12987,45.0
654311424,10526,60.0
655360000,7751,91.0
656408576,10101,58.0
657457152,10638,59.0
658505728,6756,64.0
659554304,10204,56.0
660602880,8474,59.0
661651456,10869,56.0
662700032,10101,60.0
663748608,10526,55.0
664797184,4901,148.0
665845760,11494,52.0
666894336,8474,74.0
667942912,8264,69.0
668991488,9615,63.0
670040064,9900,64.0
671088640,9803,57.0
672137216,8474,72.0
673185792,6944,81.0
674234368,9433,66.0
675282944,7751,75.0
676331520,9523,61.0
677380096,8064,75.0
678428672,7092,59.0
679477248,10416,55.0
680525824,9615,65.0
681574400,10000,62.0
682622976,7518,58.0
683671552,7874,77.0
684720128,10416,58.0
685768704,10000,63.0
686817280,7692,84.0
687865856,9615,60.0
688914432,9009,68.0
689963008,9523,59.0
691011584,9090,73.0
692060160,8547,73.0
693108736,7194,64.0
694157312,9174,65.0
695205888,8264,76.0
696254464,5102,100.0
697303040,10000,60.0
698351616,8000,76.0
699400192,5813,117.0
