Write Buffer Size,ops_per_sec,micros_per_op
559939584,1719518,0.581
560988160,1863752,0.536
562036736,1804399,0.554
563085312,2072328,0.482
564133888,1785602,0.56
565182464,2031665,0.492
566231040,1923472,0.52
567279616,1949173,0.513
568328192,1972125,0.507
569376768,1897471,0.527
570425344,1767768,0.566
571473920,1852733,0.54
572522496,1726671,0.579
573571072,1799247,0.556
574619648,1867263,0.535
575668224,1907483,0.524
576716800,1969930,0.508
577765376,2053367,0.487
578813952,1550368,0.645
579862528,1884957,0.53
580911104,1812296,0.552
581959680,1791254,0.558
583008256,2059172,0.486
584056832,2047472,0.488
585105408,1758776,0.568
586153984,1994980,0.501
587202560,1705029,0.586
588251136,1943049,0.515
589299712,1858473,0.538
590348288,1751519,0.571
591396864,1989428,0.503
592445440,2014159,0.496
593494016,1688293,0.592
594542592,1795425,0.557
595591168,1680528,0.595
596639744,1832199,0.546
597688320,1709623,0.585
598736896,1996653,0.501
599785472,2016580,0.496
600834048,1721789,0.581
601882624,2014528,0.496
602931200,2049365,0.488
603979776,2062957,0.485
605028352,2024639,0.494
606076928,2007238,0.498
607125504,1834229,0.545
608174080,1281602,0.78
609222656,1744543,0.573
610271232,1869627,0.535
611319808,1928458,0.518
612368384,2057156,0.486
613416960,1708908,0.585
614465536,1635028,0.612
615514112,1812756,0.552
616562688,2021398,0.495
617611264,1954461,0.512
618659840,2055156,0.486
619708416,1912433,0.523
620756992,1678373,0.596
621805568,1751626,0.571
622854144,1790872,0.558
623902720,1979892,0.505
624951296,1524522,0.656
625999872,1760547,0.568
627048448,1682320,0.594
628097024,1893530,0.528
629145600,1848070,0.541
630194176,1870508,0.535
631242752,1854812,0.539
632291328,1889901,0.529
633339904,1791389,0.558
634388480,1824764,0.548
635437056,1916233,0.522
636485632,1909818,0.524
637534208,1817758,0.55
638582784,1711915,0.584
639631360,2013393,0.497
640679936,1876982,0.533
641728512,1903761,0.525
642777088,1858217,0.538
643825664,2015535,0.496
644874240,1763923,0.567
645922816,1577842,0.634
646971392,1723787,0.58
648019968,1585225,0.631
649068544,1968236,0.508
650117120,1977726,0.506
651165696,2051947,0.487
652214272,1911019,0.523
653262848,2008758,0.498
654311424,1622199,0.616
655360000,1737465,0.575
656408576,1751377,0.571
657457152,1603198,0.624
658505728,1485769,0.673
659554304,1890770,0.529
660602880,2123926,0.471
661651456,1888916,0.529
662700032,1844314,0.542
663748608,1966986,0.508
664797184,1950644,0.513
665845760,1989479,0.503
666894336,1973585,0.507
667942912,1958522,0.511
668991488,1737963,0.575
670040064,1826967,0.547
671088640,1805882,0.554
672137216,1672937,0.598
673185792,1854709,0.539
674234368,1907963,0.524
675282944,1993366,0.502
676331520,1724729,0.58
677380096,1794220,0.557
678428672,1549851,0.645
679477248,1691640,0.591
680525824,1822306,0.549
681574400,1638742,0.61
682622976,1760895,0.568
683671552,1687370,0.593
684720128,1712930,0.584
685768704,2018847,0.495
686817280,1855081,0.539
687865856,1855549,0.539
688914432,1980935,0.505
689963008,1818238,0.55
691011584,1718523,0.582
692060160,1924005,0.52
693108736,1896104,0.527
694157312,1727814,0.579
695205888,1562375,0.64
696254464,1689914,0.592
697303040,1959155,0.51
698351616,1791106,0.558
699400192,1390480,0.719
700448768,1768477,0.565
701497344,1623366,0.616
702545920,1783116,0.561
703594496,1794381,0.557
704643072,2051244,0.487
705691648,1808923,0.553
706740224,1895799,0.527
707788800,1870368,0.535
708837376,1806599,0.553
709885952,1994145,0.501
710934528,1919975,0.521
711983104,1800935,0.555
713031680,1829227,0.547
714080256,1978028,0.506
715128832,1675316,0.597
716177408,1879105,0.532
717225984,1750243,0.571
718274560,1856358,0.539
719323136,1939269,0.516
720371712,1806299,0.554
721420288,2460763,0.406
722468864,2352254,0.425
723517440,2184388,0.458
724566016,2167871,0.461
725614592,2169390,0.461
726663168,2307028,0.433
727711744,2607548,0.383
728760320,2176245,0.459
729808896,2278376,0.439
730857472,2136094,0.468
731906048,2506812,0.399
732954624,2405343,0.416
734003200,2438845,0.41
735051776,2276509,0.439
736100352,2332062,0.429
737148928,2208148,0.453
738197504,2284215,0.438
739246080,2475308,0.404
740294656,2357584,0.424
741343232,2473722,0.404
742391808,2322783,0.43
743440384,2446950,0.409
744488960,2443649,0.409
745537536,2272959,0.44
746586112,2156738,0.464
747634688,2435644,0.41
748683264,2454463,0.407
749731840,2501250,0.4
750780416,2378070,0.42
751828992,2335979,0.428
752877568,2160494,0.463
753926144,2284972,0.438
754974720,2045859,0.489
756023296,2423179,0.413
757071872,1924653,0.519
758120448,2152120,0.465
759169024,2174551,0.46
760217600,1845079,0.542
761266176,2230907,0.448
762314752,2479857,0.403
763363328,2183525,0.458
764411904,2473539,0.404
765460480,2391955,0.418
766509056,2118599,0.472
767557632,2460381,0.406
768606208,2307475,0.433
769654784,2249177,0.445
770703360,2125534,0.47
771751936,2287240,0.437
772800512,2059503,0.485
773849088,1929876,0.518
774897664,2020622,0.495
775946240,2147051,0.466
776994816,1880027,0.532
778043392,2272510,0.44
779091968,2346360,0.426
780140544,2009549,0.498
781189120,2379043,0.42
782237696,2260837,0.442
783286272,2160816,0.463
784334848,2189069,0.457
785383424,2144592,0.466
786432000,2158801,0.463
787480576,2190522,0.456
788529152,2318512,0.431
789577728,2472842,0.404
790626304,2415435,0.414
791674880,2429679,0.411
792723456,2241715,0.446
793772032,2128415,0.47
794820608,2357284,0.424
795869184,2300310,0.435
796917760,2230728,0.448
797966336,2228948,0.449
799014912,2405575,0.416
800063488,1984087,0.504
801112064,2321640,0.431
802160640,2249238,0.445
803209216,2048978,0.488
804257792,2312887,0.432
805306368,2236461,0.447
806354944,2445507,0.409
807403520,2158461,0.463
808452096,2352232,0.425
809500672,2338962,0.427
810549248,2384290,0.419
811597824,2293136,0.436
812646400,2362764,0.423
813694976,2181296,0.458
814743552,2437710,0.41
815792128,1825743,0.548
816840704,1923935,0.52
817889280,2012615,0.497
818937856,1951398,0.512
819986432,1837495,0.544
821035008,2423349,0.413
822083584,2330909,0.429
823132160,2455361,0.407
824180736,2330225,0.429
825229312,2233459,0.448
826277888,2222335,0.45
827326464,2131623,0.469
828375040,2468611,0.405
829423616,2140007,0.467
830472192,2237872,0.447
831520768,1731763,0.577
832569344,2138607,0.468
833617920,2410916,0.415
834666496,1959942,0.51
835715072,2102178,0.476
836763648,2061060,0.485
837812224,2394183,0.418
838860800,2318534,0.431
839909376,2267095,0.441
840957952,2461532,0.406
842006528,2080576,0.481
843055104,2099706,0.476
844103680,2273585,0.44
845152256,2336372,0.428
846200832,2208695,0.453
847249408,2119681,0.472
848297984,2102324,0.476
849346560,2311497,0.433
850395136,1981677,0.505
851443712,2209231,0.453
852492288,2191876,0.456
853540864,2405112,0.416
854589440,2228834,0.449
855638016,2386623,0.419
856686592,2497702,0.4
857735168,2139577,0.467
858783744,1744372,0.573
859832320,2328527,0.429
860880896,2187508,0.457
861929472,2271199,0.44
862978048,2376471,0.421
864026624,2285536,0.437
865075200,2357184,0.424
866123776,2163696,0.462
867172352,2248944,0.445
868220928,2342287,0.427
869269504,2233843,0.448
870318080,2206190,0.453
871366656,2432042,0.411
872415232,2151379,0.465
873463808,2117024,0.472
874512384,2203681,0.454
875560960,2187963,0.457
876609536,2061392,0.485
877658112,2118644,0.472
878706688,2389246,0.418
879755264,2036809,0.491
880803840,2095798,0.477
881852416,2358601,0.424
882900992,2244663,0.445
883949568,2237031,0.447
884998144,2209632,0.452
886046720,2246403,0.445
887095296,2126700,0.47
888143872,1989911,0.502
889192448,1811794,0.552
890241024,2104244,0.475
891289600,1818495,0.55
892338176,1797306,0.556
893386752,1999884,0.5
894435328,2182934,0.458
895483904,2428935,0.412
896532480,2118415,0.472
897581056,2413878,0.414
898629632,2227533,0.449
899678208,2061209,0.485
900726784,2157613,0.463
901775360,2138118,0.468
902823936,2096752,0.477
903872512,2203973,0.454
904921088,2402615,0.416
905969664,2235131,0.447
907018240,2236446,0.447
908066816,2148389,0.465
909115392,2243973,0.446
910163968,2168835,0.461
911212544,2320277,0.431
912261120,1969271,0.508
913309696,2505769,0.399
914358272,2091166,0.478
915406848,2319389,0.431
916455424,2024000,0.494
917504000,2404343,0.416
918552576,1789043,0.559
919601152,2005076,0.499
920649728,2273321,0.44
921698304,2218711,0.451
922746880,2236035,0.447
923795456,2399393,0.417
924844032,2277608,0.439
925892608,1782868,0.561
926941184,2182724,0.458
927989760,2414980,0.414
929038336,2111370,0.474
930086912,2174636,0.46
931135488,2160247,0.463
932184064,2341224,0.427
933232640,2156752,0.464
934281216,2203497,0.454
935329792,2330361,0.429
936378368,2157683,0.463
937426944,2119488,0.472
938475520,2418894,0.413
939524096,1877673,0.532
940572672,2294762,0.436
