Write Buffer Size,ops_per_sec,micros_per_op
978321408,57993,17.242
979369984,53126,18.822
980418560,33441,29.902
981467136,44374,22.535
982515712,60597,16.501
983564288,46865,21.337
984612864,22708,44.036
985661440,22316,44.81
986710016,58333,17.142
987758592,33597,29.764
988807168,45147,22.149
989855744,39089,25.582
990904320,42608,23.469
991952896,27211,36.748
993001472,30710,32.562
994050048,36069,27.724
995098624,21284,46.982
996147200,36501,27.395
997195776,33140,30.174
998244352,33420,29.921
999292928,32799,30.488
1000341504,43944,22.756
1001390080,48325,20.692
1002438656,34524,28.965
1003487232,48100,20.789
1004535808,48900,20.449
1005584384,39846,25.096
1006632960,36986,27.036
1007681536,44301,22.572
1008730112,36874,27.118
1009778688,44529,22.456
1010827264,41214,24.263
1011875840,48406,20.658
1012924416,41838,23.901
1013972992,41567,24.057
1015021568,41005,24.386
1016070144,28681,34.864
1017118720,53296,18.763
1018167296,55843,17.906
1019215872,20860,47.937
1020264448,26805,37.305
1021313024,27612,36.216
1022361600,17930,55.769
1023410176,32701,30.579
1024458752,39313,25.436
1025507328,22801,43.856
1026555904,29586,33.799
1027604480,30548,32.735
1028653056,37796,26.457
1029701632,25636,39.006
1030750208,37708,26.519
1031798784,23739,42.123
1032847360,26480,37.763
1033895936,43902,22.777
1034944512,47359,21.115
1035993088,29201,34.245
1037041664,40978,24.403
1038090240,42505,23.526
1039138816,52265,19.132
1040187392,27782,35.994
1041235968,43849,22.805
1042284544,27804,35.965
1043333120,43058,23.223
1044381696,58062,17.222
1045430272,46653,21.434
1046478848,27635,36.185
1047527424,63267,15.806
1048576000,42973,23.269
1049624576,27152,36.828
1050673152,40135,24.915
1051721728,18281,54.699
1052770304,27160,36.817
1053818880,42430,23.568
1054867456,51423,19.446
1055916032,22335,44.771
1056964608,28731,34.805
1058013184,20864,47.928
1059061760,43172,23.162
1060110336,17194,58.156
1061158912,47240,21.167
1062207488,20624,48.486
1063256064,28375,35.241
1064304640,17759,56.306
1065353216,30130,33.187
1066401792,34548,28.945
1067450368,19520,51.228
1068498944,34220,29.222
1069547520,38720,25.826
1070596096,21896,45.668
1071644672,34853,28.691
1072693248,26181,38.194
