max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
2,6,834662030,7,2,7,113737,16,25,10,4,48162403,48079,20.798
2,2,604469894,3,1,2,38344,10,19,14,7,115379136,41276,24.226
2,5,590228053,2,3,9,8877,15,20,29,8,99727052,48495,20.62
6,3,216701990,8,1,6,42727,15,14,31,6,68318117,45070,22.187
7,4,60470013,6,3,9,65911,11,16,11,4,123477118,44184,22.632
6,2,333288810,8,1,6,11783,13,14,8,4,122530844,65819,15.192
8,4,438081106,3,4,6,42026,15,21,9,3,79255786,45957,21.758
3,8,772114630,6,5,16,68196,15,19,12,5,133536484,60205,16.609
6,3,850227700,6,5,9,67843,15,2,3,2,57523017,64084,15.604
8,8,309607690,8,3,3,70390,5,11,5,5,71432291,47097,21.232
1,7,919448633,7,1,14,79079,16,7,21,3,93831178,44983,22.229
6,5,869661873,5,4,2,23647,9,31,23,4,56774298,50149,19.939
7,7,650088959,4,4,10,94248,14,27,23,4,124010220,45416,22.017
5,8,534537618,2,2,2,23354,9,13,25,1,58292134,32512,30.756
5,4,55871440,7,5,16,89442,7,5,12,2,88059952,43207,23.143
6,8,130371365,6,2,4,31542,11,22,4,8,40840476,34622,28.882
1,1,169597842,7,5,16,125277,11,26,10,5,102374614,38113,26.237
2,7,396475498,8,4,3,18803,13,16,23,3,56995365,62315,16.047
5,2,966904413,8,3,15,36776,14,12,2,1,53464009,52857,18.918
2,2,924430749,5,2,3,128723,14,23,29,2,92689005,49166,20.338
3,5,992227342,4,1,10,18650,7,23,29,5,90874979,39029,25.621
5,5,568067254,7,4,15,67171,11,24,18,6,82545904,49396,20.244
4,2,854394129,4,3,13,130082,15,11,27,3,35084388,46683,21.42
2,5,101665791,5,1,6,64218,6,22,31,2,53421268,35144,28.454
4,7,77100006,4,1,14,67855,5,8,7,8,83156247,27904,35.835
5,6,919802747,6,1,15,71494,2,2,17,1,41872456,45727,21.868
6,7,782864141,7,3,14,38702,7,10,31,2,57668488,41532,24.076
8,4,310677517,6,2,11,118989,12,7,32,7,66649841,59787,16.725
6,2,407092022,4,3,12,59245,14,28,4,8,91965190,58901,16.977
6,5,360423227,4,5,11,92628,12,2,26,7,119246230,32830,30.459
8,2,659839446,4,4,7,19036,5,7,29,3,92449949,26517,37.711
1,5,622286754,6,5,8,129659,6,26,13,4,119121896,54120,18.477
3,8,222134860,2,2,11,66209,13,25,30,8,60595556,47761,20.937
5,3,732263159,3,3,10,41038,13,27,18,7,56528067,43079,23.212
2,7,279837945,5,1,2,13219,6,22,8,7,133961569,56999,17.543
4,1,40843995,6,4,7,84452,10,4,19,4,55380739,51736,19.328
3,2,166661314,6,3,6,43618,12,14,30,4,44668870,32080,31.17
3,6,550281596,7,1,8,47844,6,4,3,5,46834405,27763,36.016
6,6,851992147,7,3,16,118709,8,29,27,5,111621517,59679,16.756
1,1,661488298,7,2,3,41931,9,26,11,4,125468357,54782,18.253
4,4,777402745,8,5,7,114124,9,24,11,4,96906083,66242,15.096
7,7,753476534,6,3,16,6114,14,16,13,7,42800810,64085,15.603
6,6,174308971,3,1,8,83425,12,28,16,4,51337568,47901,20.875
5,4,243637882,8,4,3,51369,6,22,24,1,80294952,58669,17.044
5,4,551715636,8,5,14,121543,12,15,15,8,83585351,56038,17.844
4,6,296049669,3,4,10,26724,6,6,19,2,102615730,66254,15.093
8,8,103722893,5,2,13,49860,11,3,27,7,88229514,67390,14.838
2,8,1022547480,2,5,6,92066,14,25,31,2,75763520,60268,16.592
4,5,261517741,8,2,9,95716,11,20,7,2,133597941,41718,23.968
8,8,979054184,8,5,3,82357,10,23,23,2,42148756,44833,22.304
6,3,274310468,6,3,11,124695,13,3,18,6,77455545,42732,23.401
6,8,332057667,8,3,14,68252,6,13,10,2,84351789,39263,25.468
8,1,215274944,4,3,8,5395,8,5,6,3,90290120,40645,24.602
8,6,536495571,5,1,10,10335,6,14,25,6,71132824,44747,22.346
7,3,626451198,6,4,12,103789,2,17,22,3,60267290,37865,26.409
5,3,538048961,7,2,2,11573,11,22,20,8,73017544,37831,26.432
6,8,822170288,5,3,4,82570,10,23,13,4,79245839,27119,36.872
7,2,310084293,8,3,16,17746,16,18,30,8,57058222,52263,19.133
6,2,84719055,6,5,4,82392,5,25,2,2,46995157,51341,19.477
1,4,156286587,6,4,6,16596,9,15,10,4,52164186,45958,21.758
2,2,380087471,5,3,16,21012,14,5,18,2,112028811,59486,16.81
6,6,326893223,5,3,7,56403,16,31,18,7,84411058,62512,15.996
2,6,240956355,2,5,2,61058,5,14,16,3,60316258,59181,16.896
5,1,614593797,8,4,15,68487,15,7,3,5,68869768,64786,15.435
3,3,200229282,2,3,2,58830,8,24,14,6,92933800,21483,46.546
2,6,94320453,6,1,5,72112,11,19,24,6,102448040,22734,43.985
3,7,670829007,8,4,16,34670,5,7,11,8,90644003,48570,20.588
4,6,375748115,8,4,2,59720,10,25,12,3,86261347,38985,25.649
8,1,503155049,7,3,10,71084,14,11,13,7,60510765,59381,16.839
2,3,593713401,3,4,2,98893,9,32,22,3,65228331,47983,20.84
2,3,238685488,4,5,3,109030,7,13,28,8,52373668,58660,17.047
5,7,849724139,6,5,5,78886,8,4,12,7,121179500,46654,21.434
6,1,1030570939,4,4,12,30212,15,29,29,2,71602513,56210,17.79
4,5,889053412,2,5,14,41753,12,18,32,3,66460313,59903,16.693
5,7,543582119,6,2,15,89430,4,11,32,1,70828451,40973,24.405
7,4,742095595,3,3,15,95775,5,14,16,6,89332755,27274,36.664
6,3,376189490,4,3,13,63405,10,21,15,5,124592274,26756,37.373
1,6,263557011,3,5,3,85605,15,27,17,2,82946248,51360,19.47
5,3,995609309,4,2,6,120982,3,4,21,7,57408150,55680,17.959
8,1,935940150,7,1,5,56342,7,7,25,7,128269943,19460,51.385
4,2,679982820,7,2,2,97986,12,29,14,8,116120991,30096,33.226
6,8,437241626,3,3,16,41121,16,30,10,5,35690250,31697,31.548
2,5,262495716,7,5,7,83388,10,10,29,4,120281729,25912,38.591
3,5,50923509,6,4,9,92680,3,7,28,6,38415669,12908,77.465
8,4,401429767,5,3,4,84684,12,13,9,5,64118216,7549,132.361
5,1,956198798,5,1,6,67617,2,14,17,6,49813357,29842,33.509
4,4,373869841,2,1,9,86991,6,22,23,2,52678553,40696,24.571
1,5,36257346,6,2,4,92333,3,22,32,7,126708492,38350,26.075
8,4,174674960,6,1,5,88037,10,20,3,2,51385364,35951,27.814
7,6,608845173,2,4,8,71532,9,26,29,2,46881886,15196,65.802
5,6,683956754,8,3,14,116646,14,3,2,8,103477905,62316,16.046
7,4,86536794,7,2,3,34152,4,29,7,1,65483639,22686,44.079
4,5,721176160,7,2,14,52021,10,21,8,7,56255898,24331,41.098
1,1,70461088,6,3,4,26963,12,16,5,5,39960477,16298,61.353
8,4,598101064,5,4,15,116645,5,21,27,7,73085681,28457,35.14
6,5,510571552,2,2,3,16507,14,18,9,3,122579146,21770,45.933
4,8,116950065,6,5,3,85751,15,9,13,4,35963970,20719,48.263
3,7,300158031,6,1,15,6953,7,22,3,1,128671266,27066,36.946
2,6,80030110,6,3,13,37948,11,19,32,3,122653916,37873,26.402
