Block Size,ops_per_sec,micros_per_op
95068,7142,59.0
95272,6849,65.0
95476,10416,58.0
95680,7518,55.0
95884,4184,196.0
96088,7874,85.0
96292,10869,55.0
96496,9259,58.0
96700,9433,67.0
96904,11111,54.0
97108,10309,61.0
97312,10869,52.0
97516,10416,58.0
97720,7407,56.0
97924,11904,50.0
98128,11627,52.0
98332,10752,54.0
98536,10869,57.0
98740,10989,57.0
98944,11111,52.0
99148,10989,57.0
99352,8333,80.0
99556,10752,59.0
99760,12048,51.0
99964,11627,49.0
100168,12195,48.0
100372,9345,56.0
100576,10309,58.0
100780,11111,55.0
100984,12195,47.0
101188,8695,82.0
101392,12048,47.0
101596,10416,60.0
101800,11764,52.0
102004,11235,51.0
102208,8000,75.0
102412,8928,74.0
102616,11111,55.0
102820,10000,63.0
103024,11627,52.0
103228,10204,60.0
103432,11494,49.0
103636,12195,49.0
103840,10989,57.0
104044,10204,58.0
104248,11904,49.0
104452,8333,51.0
104656,11235,56.0
104860,12345,49.0
105064,10989,55.0
105268,8064,83.0
105472,11363,51.0
105676,11764,49.0
105880,12048,49.0
106084,9259,69.0
106288,10752,58.0
106492,10204,56.0
106696,12500,48.0
106900,12500,48.0
107104,8000,53.0
107308,12195,50.0
107512,11494,53.0
107716,10416,55.0
107920,12820,47.0
108124,7575,86.0
108328,11235,56.0
108532,10989,58.0
108736,12048,50.0
108940,12658,47.0
109144,10000,58.0
109348,10309,62.0
109552,10101,58.0
109756,8064,50.0
109960,12658,47.0
110164,6578,103.0
110368,11627,50.0
110572,10526,58.0
110776,11494,53.0
110980,10989,53.0
111184,11904,49.0
111388,8130,52.0
111592,11363,54.0
111796,7936,85.0
112000,8196,71.0
112204,9433,66.0
112408,10204,58.0
112612,10989,53.0
112816,11235,53.0
113020,10204,61.0
113224,10869,58.0
113428,8196,49.0
113632,8474,69.0
113836,11363,51.0
114040,10309,60.0
114244,8264,51.0
114448,11111,55.0
114652,11363,55.0
114856,11363,53.0
115060,9523,59.0
115264,9009,66.0
115468,10416,59.0
115672,5291,126.0
115876,10638,58.0
116080,9615,66.0
116284,10526,56.0
116488,10638,56.0
116692,10989,56.0
116896,7692,54.0
117100,12195,49.0
117304,11904,53.0
117508,9523,64.0
117712,11764,50.0
117916,6993,61.0
118120,10989,57.0
118324,8849,61.0
118528,11627,51.0
118732,6711,112.0
118936,10638,55.0
119140,10638,57.0
119344,9803,66.0
119548,11235,54.0
119752,11494,52.0
119956,11764,51.0
120160,11764,50.0
120364,7352,51.0
120568,9345,55.0
120772,10526,59.0
120976,11111,55.0
121180,3164,245.0
121384,10204,58.0
121588,7407,58.0
121792,7936,53.0
121996,11627,50.0
122200,11494,51.0
122404,10204,61.0
122608,11494,52.0
122812,11904,50.0
123016,11627,53.0
123220,11111,51.0
123424,10869,57.0
123628,10309,59.0
123832,7812,79.0
124036,10101,59.0
124240,9708,61.0
124444,9803,60.0
124648,10416,53.0
124852,10989,52.0
125056,9090,64.0
125260,10526,53.0
125464,10416,57.0
125668,10752,56.0
125872,10204,61.0
126076,11111,55.0
126280,10752,56.0
126484,11904,50.0
126688,10989,53.0
126892,6211,115.0
127096,10416,56.0
127300,10000,60.0
127504,7352,60.0
127708,10752,57.0
127912,10869,55.0
128116,7936,52.0
128320,10204,59.0
128524,10752,60.0
128728,11494,51.0
128932,11494,52.0
129136,11111,55.0
129340,10869,54.0
129544,10869,59.0
129748,10752,54.0
129952,10204,54.0
130156,12345,48.0
130360,10526,56.0
130564,10309,61.0
130768,7812,81.0
130972,11111,50.0
