Block Size,ops_per_sec,micros_per_op
100372,2281125,0.438
100576,2410800,0.414
100780,1873782,0.533
100984,1947495,0.513
101188,2140823,0.466
101392,2286759,0.437
101596,2107970,0.474
101800,2155869,0.463
102004,2362669,0.423
102208,2529916,0.395
102412,2714219,0.368
102616,2448939,0.408
102820,2346646,0.425
103024,2627361,0.38
103228,2288591,0.436
103432,2454228,0.407
103636,2602540,0.384
103840,2156845,0.463
104044,2214201,0.451
104248,2302555,0.434
104452,1997203,0.5
104656,1986412,0.503
104860,1961322,0.509
105064,2286759,0.437
105268,2183406,0.457
105472,1734454,0.576
105676,1856630,0.538
105880,2433267,0.41
106084,2232491,0.447
106288,2443315,0.409
106492,2278423,0.438
106696,2411091,0.414
106900,2572479,0.389
107104,2517433,0.397
107308,2316960,0.431
107512,2594302,0.385
107716,2211900,0.451
107920,2194666,0.455
108124,1927710,0.518
108328,2040649,0.489
108532,2144634,0.465
108736,1852400,0.539
108940,2161788,0.462
109144,2124044,0.47
109348,2095030,0.477
109552,2590136,0.385
109756,2037988,0.49
109960,2332198,0.428
110164,2156613,0.463
110368,2169620,0.46
110572,2273450,0.439
110776,2475737,0.403
110980,2019263,0.494
111184,2015275,0.495
111388,2087682,0.478
111592,1866263,0.535
111796,1869962,0.534
112000,1838911,0.543
112204,2323798,0.43
112408,2513067,0.397
112612,2509599,0.398
112816,2878029,0.347
113020,2340385,0.427
113224,2738075,0.365
113428,2609943,0.382
113632,2449059,0.408
113836,1836648,0.544
114040,1685828,0.593
114244,2025234,0.493
114448,1943407,0.514
114652,2030827,0.492
114856,2148412,0.465
115060,2205947,0.453
115264,2314439,0.431
115468,2523914,0.396
115672,2345600,0.426
115876,2532928,0.394
116080,2392001,0.417
116284,2318303,0.431
116488,2428894,0.411
116692,2145968,0.465
116896,1955531,0.511
117100,2210237,0.452
117304,2171835,0.46
117508,2188471,0.456
117712,1965254,0.508
117916,1972581,0.506
118120,2054949,0.486
118324,2187274,0.456
118528,2258100,0.442
118732,2223506,0.449
118936,2574532,0.388
119140,2519335,0.396
119344,2265005,0.441
119548,2301601,0.434
119752,2588594,0.386
119956,2209456,0.452
120160,2118285,0.471
120364,1982081,0.503
120568,1420595,0.703
120772,984426,1.015
120976,1093960,0.913
121180,981055,1.018
121384,1947988,0.513
121588,1846960,0.541
121792,2005696,0.498
121996,2072410,0.482
122200,2391657,0.417
122404,2247898,0.444
122608,2312406,0.432
122812,2595380,0.385
123016,1999520,0.499
123220,2383676,0.419
123424,1882211,0.53
123628,2148827,0.465
123832,1889894,0.529
124036,2081902,0.48
124240,2157497,0.463
124444,1777809,0.562
124648,2135885,0.467
124852,2205995,0.452
125056,2237737,0.446
125260,2166706,0.461
125464,2385894,0.418
125668,2355324,0.424
125872,2359325,0.423
126076,2483484,0.402
126280,2399002,0.416
126484,2595447,0.384
126688,2241499,0.445
126892,2083593,0.479
127096,2193655,0.455
127300,2185649,0.457
127504,1696151,0.589
127708,2050146,0.487
127912,1841078,0.542
128116,2093539,0.477
128320,2319970,0.43
128524,2249061,0.444
128728,2180597,0.458
128932,2455192,0.407
129136,2003486,0.498
129340,2002803,0.499
129544,2273502,0.439
129748,1854702,0.538
129952,1851989,0.539
130156,1692964,0.59
130360,2038403,0.49
130564,1962708,0.509
130768,1906686,0.524
130972,1789196,0.558
